HostSiteName,Member ID,Grade,ACE Days Attended,SchoolDaysEnrolled,SchoolDaysAbsent,CriminalReferrals,NonCriminalReferrals,SchoolDayClasses,StudentOverallGrades,ReadingGrade,MathGrade,ScienceGrade,SocialStudiesGrade
Spring Oaks Middle,1817816,7th,1,94,0,0,0,7,C's,F,C,C,C
Spring Oaks Middle,1817817,6th,1,94,0,0,0,7,Mostly C's and D's,C,D,C,F
Spring Oaks Middle,1818108,6th,17,94,0,0,0,7,Mostly A's and B's,C,A,B,B
Spring Oaks Middle,1840629,7th,4,94,0,0,0,7,Mostly C's and D's,B,C,D,D
Spring Oaks Middle,1826988,6th,16,94,0,0,0,7,Mostly A's and B's,A,A,B,A
Spring Oaks Middle,1840499,7th,2,94,0,0,0,7,Mostly A's and B's,C,B,B,A
Spring Oaks Middle,1838626,6th,2,94,0,0,0,7,Mostly B's and C's,A,C,B,F
Spring Oaks Middle,1839144,6th,2,94,0,0,0,7,,,,,
Spring Oaks Middle,1840604,6th,84,94,0,0,0,7,A's,A,A,A,A
Spring Oaks Middle,1838960,6th,124,94,0,0,0,7,Mostly A's and B's,A,B,B,A
Spring Oaks Middle,1840692,6th,7,94,0,0,0,7,Mostly A's and B's,B,A,B,B
Spring Oaks Middle,1840584,8th,1,94,0,0,0,7,Mostly A's and B's,A,A,A,B
Spring Oaks Middle,1840957,6th,50,94,0,0,0,7,Mostly A's and B's,B,B,B,A
Spring Oaks Middle,1838495,6th,46,94,0,0,0,7,C's,C,B,D,C
Spring Oaks Middle,1835990,6th,4,94,0,0,0,7,Mostly B's and C's,F,C,B,B
Spring Oaks Middle,1826990,6th,107,94,0,0,0,7,C's,C,C,D,B
Spring Oaks Middle,1840619,8th,112,94,0,0,0,7,C's,D,D,B,B
Spring Oaks Middle,1841099,8th,45,94,0,0,0,7,Mostly C's and D's,C,C,B,F
Spring Oaks Middle,1827267,7th,96,94,0,0,0,7,Mostly C's and D's,F,D,B,B
Spring Oaks Middle,1832454,6th,78,94,0,0,0,7,Mostly B's and C's,B,C,B,C
Spring Oaks Middle,1840511,6th,100,94,0,0,0,7,Mostly A's and B's,C,B,A,A
Spring Oaks Middle,1840447,6th,102,94,0,0,0,7,Mostly B's and C's,B,C,B,B
Spring Oaks Middle,1838185,7th,2,94,0,0,0,7,A's,A,A,A,A
Spring Oaks Middle,1826948,6th,4,94,0,0,0,7,B's,C,B,B,B
Spring Oaks Middle,1826959,6th,72,94,0,0,0,7,Mostly A's and B's,A,B,A,A
Spring Oaks Middle,1840607,6th,100,94,0,0,0,7,Mostly B's and C's,C,B,C,A
Spring Oaks Middle,1833687,6th,1,94,0,0,0,7,B's,A,C,B,B
Spring Oaks Middle,1840524,7th,28,94,0,0,0,7,Mostly B's and C's,C,B,C,B
Spring Oaks Middle,1840473,6th,118,94,0,0,0,7,Mostly A's and B's,C,A,A,A
Spring Oaks Middle,1837953,7th,1,94,0,0,0,7,B's,C,C,A,A
Spring Oaks Middle,1832998,8th,106,94,0,0,0,7,D's,C,C,F,F
Spring Oaks Middle,1840573,6th,133,94,0,0,0,7,B's,B,B,B,B
Spring Oaks Middle,1838780,7th,36,94,0,0,0,7,Mostly C's and D's,D,F,D,C
Spring Oaks Middle,1832467,6th,17,94,0,0,0,7,Mostly C's and D's,F,D,C,C
Spring Oaks Middle,1840585,8th,103,94,0,0,0,7,Mostly A's and B's,A,A,B,A
Spring Oaks Middle,1838311,7th,3,94,0,0,0,7,Mostly D's and F's,F,C,F,F
Spring Oaks Middle,1826956,6th,89,94,0,0,0,7,A's,A,A,A,A
Spring Oaks Middle,1840560,6th,1,94,0,0,0,7,Mostly A's and B's,B,A,A,B
Spring Oaks Middle,1840559,8th,116,94,0,0,0,7,B's,B,A,D,B
Spring Oaks Middle,1837312,6th,8,94,0,0,0,7,Mostly C's and D's,F,B,C,C
Spring Oaks Middle,1831183,6th,1,94,0,0,0,7,F's,F,F,F,F
Spring Oaks Middle,1837431,7th,19,94,0,0,0,7,Mostly B's and C's,C,B,B,C
Spring Oaks Middle,1837477,7th,39,94,0,0,0,7,Mostly A's and B's,C,A,B,A
Spring Oaks Middle,1841015,6th,5,94,0,0,0,7,Mostly C's and D's,C,D,D,C
Spring Oaks Middle,1840523,7th,106,94,0,0,0,7,Mostly A's and B's,B,A,B,B
Spring Oaks Middle,1841151,6th,25,94,0,0,0,7,Mostly A's and B's,C,A,B,A
Spring Oaks Middle,1837330,6th,2,94,0,0,0,7,A's,A,A,B,A
Spring Oaks Middle,1840365,7th,91,94,0,0,0,7,Mostly A's and B's,B,B,C,A
Spring Oaks Middle,1840474,8th,63,94,0,0,0,7,C's,C,C,B,C
Spring Oaks Middle,1840720,6th,49,94,0,0,0,7,C's,C,D,C,B
Spring Oaks Middle,1837954,6th,32,94,0,0,0,7,B's,A,C,D,A
Spring Oaks Middle,1840470,6th,"Total
Hours
Attended",94,0,0,0,7,Mostly A's and B's,B,A,A,A
Spring Oaks Middle,1840471,6th,,94,0,0,0,7,Mostly A's and B's,C,A,A,B
Spring Oaks Middle,1837954,6th,3,94,0,0,0,7,Mostly A's and B's,B,A,B,A
Spring Oaks Middle,1838964,7th,117,94,0,0,0,7,Mostly B's and C's,C,C,A,B
Spring Oaks Middle,1840555,7th,95,94,0,0,0,7,Mostly B's and C's,B,A,C,C
