HostSiteName,UID,Grade,ACE Days Attended,SchoolDaysEnrolled,SchoolDaysAbsent,CriminalReferrals,NonCriminalReferrals,SchoolDayClasses,SchoolDayClassesPassed,StudentOverallGrades,ReadingGrade,MathGrade,ScienceGrade,SocialStudiesGrade
The Womens' Home,1841509,Kindergarten,51,94,0,0,0,0,0,,,,,
The Womens' Home,1841621,4th,51,94,0,0,0,0,0,Mostly C's and D's,D,D,C,C
The Womens' Home,1836848,2nd,149,94,0,0,0,0,0,Mostly D's and F's,F,D,D,D
The Womens' Home,1824353,3rd,51,94,0,0,0,0,0,,,,,
The Womens' Home,1823782,5th,7,94,0,0,0,0,0,,C,D,B,A
The Womens' Home,1841137,2nd,59,94,0,0,0,0,0,Mostly C's and D's,D,B,C,F
The Womens' Home,1841010,4th,69,94,0,0,0,0,0,Mostly D's and F's,F,F,D,C
The Womens' Home,1841114,2nd,58,94,0,0,0,0,0,F's,F,F,F,F
The Womens' Home,1836858,5th,51,94,0,0,0,0,0,B's,B,B,B,B
The Womens' Home,1836857,3rd,51,94,0,0,0,0,0,Mostly B's and C's,C,B,B,B
The Womens' Home,1826529,5th,147,94,0,0,0,0,0,Mostly B's and C's,B,F,C,B
The Womens' Home,1831934,5th,51,94,0,0,0,0,0,B's,B,B,B,B
The Womens' Home,1841471,2nd,51,94,0,0,0,0,0,Mostly C's and D's,D,D,C,D
The Womens' Home,1841506,2nd,51,94,0,0,0,0,0,Mostly D's and F's,D,D,F,D
The Womens' Home,1840958,4th,71,94,0,0,0,0,0,Mostly C's and D's,F,D,C,C
The Womens' Home,1841400,5th,51,94,0,0,0,0,0,D's,D,D,D,B
The Womens' Home,1841622,Kindergarten,51,94,0,0,0,0,0,,,,,
The Womens' Home,1841969,2nd,51,94,0,0,0,0,0,Mostly B's and C's,B,C,B,B
The Womens' Home,1840420,1st,147,94,0,0,0,0,0,,,,,
The Womens' Home,1838526,1st,146,94,0,0,0,0,0,B's,B,B,B,B
The Womens' Home,1826531,4th,51,94,0,0,0,0,0,Mostly D's and F's,F,D,D,D
The Womens' Home,1826530,5th,51,94,0,0,0,0,0,Mostly C's and D's,C,D,D,B
The Womens' Home,1841557,1st,51,94,0,0,0,0,0,,,,,
The Womens' Home,1840089,5th,51,94,0,0,0,0,0,Mostly A's and B's,B,A,B,A
The Womens' Home,1839453,4th,153,94,0,0,0,0,0,Mostly B's and C's,D,B,C,B
The Womens' Home,1839453,Kindergarten,51,94,0,0,0,0,0,,,,,
The Womens' Home,1836870,1st,51,94,0,0,0,0,0,A's,A,A,B,A
The Womens' Home,1833818,4th,51,94,0,0,0,0,0,,,,,
The Womens' Home,1833807,5th,51,94,0,0,0,0,0,Mostly B's and C's,C,C,B,B
The Womens' Home,1841544,2nd,51,94,0,0,0,0,0,Mostly A's and B's,B,B,A,A
The Womens' Home,1841545,6th,51,94,0,0,0,0,0,,,,,
The Womens' Home,1841484,4th,51,94,0,0,0,0,0,Mostly C's and D's,F,D,C,B
The Womens' Home,1841483,2nd,51,94,0,0,0,0,0,C's,C,B,C,D
The Womens' Home,1841054,2nd,67,94,0,0,0,0,0,Mostly C's and D's,D,D,B,C
The Womens' Home,1837108,2nd,111,94,0,0,0,0,0,Mostly B's and C's,D,B,A,B
The Womens' Home,1826190,3rd,51,94,0,0,0,0,0,B's,B,B,B,B
The Womens' Home,1841000,3rd,70,94,0,0,0,0,0,Mostly D's and F's,F,D,F,F
The Womens' Home,1830890,4th,90,94,0,0,0,0,0,,,,,
The Womens' Home,1836970,2nd,89,94,0,0,0,0,0,,,,,
The Womens' Home,1836855,4th,153,94,0,0,0,0,0,Mostly B's and C's,B,C,B,B
The Womens' Home,1836894,5th,155,94,0,0,0,0,0,Mostly C's and D's,C,D,C,B
The Womens' Home,1834948,5th,51,94,0,0,0,0,0,D's,C,D,D,B
The Womens' Home,1838462,1st,154,94,0,0,0,0,0,Mostly C's and D's,F,C,C,D
The Womens' Home,1836854,2nd,154,94,0,0,0,0,0,D's,D,D,D,D
The Womens' Home,1836900,2nd,50,94,0,0,0,0,0,Mostly B's and C's,D,D,B,B
The Womens' Home,1826708,4th,140,94,0,0,0,0,0,Mostly B's and C's,D,C,B,B
The Womens' Home,1841127,1st,62,94,0,0,0,0,0,,C,B,A,B
The Womens' Home,1833809,2nd,51,94,0,0,0,0,0,Mostly C's and D's,D,B,C,D
The Womens' Home,1826275,4th,143,94,0,0,0,0,0,B's,B,B,B,B
The Womens' Home,1826753,5th,147,94,0,0,0,0,0,Mostly A's and B's,B,C,B,A
The Womens' Home,1839740,3rd,60,94,0,0,0,0,0,Mostly B's and C's,D,C,B,B
The Womens' Home,1839733,4th,61,94,0,0,0,0,0,,,,,
The Womens' Home,1841277,4th,51,94,0,0,0,0,0,Mostly B's and C's,B,C,B,B
The Womens' Home,1836982,3rd,51,94,0,0,0,0,0,Mostly B's and C's,C,D,C,B
The Womens' Home,1832422,2nd,101,94,0,0,0,0,0,D's,D,D,D,D
The Womens' Home,1836972,1st,99,94,0,0,0,0,0,,,,,
The Womens' Home,1830388,3rd,103,94,0,0,0,0,0,,,,,
The Womens' Home,1834115,5th,51,94,0,0,0,0,0,,D,F,C,B
The Womens' Home,1836969,3rd,86,94,0,0,0,0,0,,,,,
The Womens' Home,1841319,5th,49,94,0,0,0,0,0,,,,,
The Womens' Home,1840621,4th,122,94,0,0,0,0,0,Mostly D's and F's,F,F,D,D
The Womens' Home,1841751,Kindergarten,51,94,0,0,0,0,0,,,,,
The Womens' Home,1841408,Kindergarten,51,94,0,0,0,0,0,,,,,
The Womens' Home,1836852,2nd,71,94,0,0,0,0,0,Mostly B's and C's,C,B,B,C
The Womens' Home,1840281,1st,148,94,0,0,0,0,0,A's,A,A,A,A
The Womens' Home,1836977,3rd,81,94,0,0,0,0,0,Mostly C's and D's,D,D,C,B
The Womens' Home,1842024,2nd,51,94,0,0,0,0,0,Mostly C's and D's,D,D,C,D
The Womens' Home,1841111,1st,62,94,0,0,0,0,0,,,,,
The Womens' Home,1840711,3rd,53,94,0,0,0,0,0,Mostly C's and D's,D,D,B,C
The Womens' Home,1841229,2nd,51,94,0,0,0,0,0,Mostly D's and F's,D,D,F,D
The Womens' Home,1841112,Kindergarten,63,94,0,0,0,0,0,,,,,
The Womens' Home,1840292,3rd,153,94,0,0,0,0,0,Mostly A's and B's,B,B,A,B
The Womens' Home,1841202,2nd,51,94,0,0,0,0,0,Mostly C's and D's,C,D,C,D
The Womens' Home,1841203,4th,51,94,0,0,0,0,0,,D,D,B,B
The Womens' Home,1836948,2nd,51,94,0,0,0,0,0,Mostly C's and D's,C,B,C,D
The Womens' Home,1826186,3rd,70,94,0,0,0,0,0,Mostly C's and D's,C,D,B,C
The Womens' Home,1833804,2nd,152,94,0,0,0,0,0,B's,B,B,B,B
The Womens' Home,1836871,1st,151,94,0,0,0,0,0,A's,A,A,A,A
The Womens' Home,1834118,5th,151,94,0,0,0,0,0,Mostly A's and B's,B,B,B,A
The Womens' Home,1841734,4th,51,94,0,0,0,0,0,Mostly C's and D's,F,D,C,C
The Womens' Home,1841543,1st,50,94,0,0,0,0,0,,,,,
The Womens' Home,1839594,3rd,58,94,0,0,0,0,0,,,,,
The Womens' Home,1823290,3rd,107,94,0,0,0,0,0,,,,,
The Womens' Home,1841246,2nd,51,94,0,0,0,0,0,,,,,
The Womens' Home,1841320,4th,49,94,0,0,0,0,0,Mostly C's and D's,C,D,C,C
The Womens' Home,1841464,2nd,51,94,0,0,0,0,0,,,,,
The Womens' Home,1841391,5th,51,94,0,0,0,0,0,D's,D,D,D,B
The Womens' Home,1841752,2nd,51,94,0,0,0,0,0,,,,,
The Womens' Home,1841317,4th,51,94,0,0,0,0,0,F's,F,F,F,B
The Womens' Home,1826248,4th,51,94,0,0,0,0,0,Mostly C's and D's,D,D,C,B
The Womens' Home,1836962,2nd,51,94,0,0,0,0,0,Mostly D's and F's,F,D,D,D
The Womens' Home,1826246,5th,149,94,0,0,0,0,0,C's,B,C,C,A
The Womens' Home,1826245,3rd,151,94,0,0,0,0,0,,F,C,B,D
The Womens' Home,1826451,4th,60,94,0,0,0,0,0,Mostly C's and D's,F,D,C,C
The Womens' Home,1826519,3rd,61,94,0,0,0,0,0,Mostly C's and D's,F,B,C,D
The Womens' Home,1841321,1st,51,94,0,0,0,0,0,,,,,
The Womens' Home,1826126,4th,68,94,0,0,0,0,0,Mostly A's and B's,A,B,A,A
The Womens' Home,1841130,2nd,60,94,0,0,0,0,0,Mostly B's and C's,C,B,B,C
The Womens' Home,1830884,5th,51,94,0,0,0,0,0,Mostly B's and C's,C,F,C,B
The Womens' Home,1840346,1st,149,94,0,0,0,0,0,Mostly A's and B's,B,B,B,A
The Womens' Home,1842032,4th,5,94,0,0,0,0,0,B's,B,B,B,B
The Womens' Home,1840280,Kindergarten,137,94,0,0,0,0,0,,,,,
The Womens' Home,1823279,5th,144,94,0,0,0,0,0,Mostly A's and B's,A,B,A,A
The Womens' Home,1830697,3rd,51,94,0,0,0,0,0,Mostly B's and C's,F,B,B,C
The Womens' Home,1840758,2nd,69,94,0,0,0,0,0,B's,B,B,B,B
The Womens' Home,1841446,4th,51,94,0,0,0,0,0,Mostly B's and C's,C,C,B,B
The Womens' Home,1831824,3rd,122,94,0,0,0,0,0,Mostly A's and B's,B,B,A,B
The Womens' Home,1841463,6th,51,94,0,0,0,0,0,,,,,
The Womens' Home,1834123,2nd,51,94,0,0,0,0,0,Mostly A's and B's,B,B,A,B
The Womens' Home,1841746,1st,51,94,0,0,0,0,0,B's,B,B,B,B
The Womens' Home,1826743,4th,135,94,0,0,0,0,0,D's,D,D,D,D
The Womens' Home,1826215,3rd,155,94,0,0,0,0,0,Mostly D's and F's,F,F,C,D
The Womens' Home,1842150,4th,8,94,0,0,0,0,0,Mostly B's and C's,D,C,B,B
The Womens' Home,1826760,5th,99,94,0,0,0,0,0,,D,F,C,B
The Womens' Home,1842154,1st,8,94,0,0,0,0,0,Mostly D's and F's,F,F,B,D
The Womens' Home,1836849,1st,51,94,0,0,0,0,0,Mostly B's and C's,C,C,B,C
The Womens' Home,1830860,4th,51,94,0,0,0,0,0,B's,B,B,B,B
The Womens' Home,1830888,5th,51,94,0,0,0,0,0,Mostly B's and C's,C,C,B,A
The Womens' Home,1831828,2nd,65,94,0,0,0,0,0,Mostly A's and B's,B,A,A,B
The Womens' Home,1827268,4th,51,94,0,0,0,0,0,Mostly D's and F's,D,F,D,C
The Womens' Home,1832421,3rd,51,94,0,0,0,0,0,Mostly D's and F's,F,D,F,F
The Womens' Home,1840932,2nd,91,94,0,0,0,0,0,Mostly B's and C's,F,C,B,B
