HostSiteName,UID,Grade,ACE Days Attended,SchoolDaysEnrolled,SchoolDaysAbsent,CriminalReferrals,NonCriminalReferrals,SchoolDayClasses,ReadingGrade,MathGrade,ScienceGrade,SocialStudiesGrade
Westwood Elementary,1837285,5th,104,94,9,0,0,85,B,B,B,A
Westwood Elementary,1826896,3rd,105,94,36,0,0,58,F,F,F,F
Westwood Elementary,1827055,3rd,130,94,3,0,0,91,C,D,C,B
Westwood Elementary,1826926,4th,117,94,4,0,0,90,C,B,C,C
Westwood Elementary,1826923,4th,14,94,2,0,0,92,B,C,C,B
Westwood Elementary,1837367,1st,131,94,12,0,0,82,B,B,B,A
Westwood Elementary,1841296,4th,6,94,7,0,0,87,B,B,B,B
Westwood Elementary,1841297,4th,2,94,0,0,0,94,B,B,B,B
Westwood Elementary,1839178,2nd,137,94,1,0,0,93,F,D,F,B
Westwood Elementary,1827216,2nd,75,94,7,0,0,87,A,A,A,A
Westwood Elementary,1826873,3rd,76,94,8,0,0,86,B,A,A,B
Westwood Elementary,1839048,2nd,134,94,5,0,0,89,C,C,B,B
Westwood Elementary,1831884,5th,8,94,0,0,0,94,D,F,B,C
Westwood Elementary,1841019,4th,55,94,7,0,0,87,C,B,C,B
Westwood Elementary,1840373,Kindergarten,141,94,4,0,0,90,Pass,Pass,Pass,Pass
Westwood Elementary,1840902,5th,10,94,1,0,0,93,B,B,B,A
Westwood Elementary,1837383,5th,136,94,1,0,0,93,B,B,B,A
Westwood Elementary,1833763,1st,100,94,0,0,0,94,A,A,A,A
Westwood Elementary,1832965,4th,132,94,13,0,0,81,A,A,A,A
Westwood Elementary,1840466,2nd,97,94,13,0,0,81,C,B,B,A
Westwood Elementary,1827025,5th,5,94,13,0,0,81,D,D,C,B
Westwood Elementary,1832185,4th,1,94,9,0,0,85,B,B,B,B
Westwood Elementary,1839363,4th,13,94,4,0,0,90,B,C,C,B
Westwood Elementary,1826892,2nd,15,94,9,0,0,85,C,B,B,B
Westwood Elementary,1837381,4th,10,94,7,0,0,87,B,B,B,B
Westwood Elementary,1838004,4th,18,94,7,0,0,87,D,F,D,D
Westwood Elementary,1827534,5th,118,94,0,0,0,94,A,A,A,A
Westwood Elementary,1833769,3rd,102,94,12,0,0,82,B,B,B,B
Westwood Elementary,1836316,2nd,89,94,17,0,0,77,F,F,D,D
Westwood Elementary,1837300,5th,82,94,4,0,0,90,B,B,B,A
Westwood Elementary,1827233,5th,12,94,0,0,0,94,B,C,C,A
Westwood Elementary,1827013,5th,7,94,0,0,0,94,C,B,B,B
Westwood Elementary,1840411,3rd,108,94,3,0,0,91,A,A,B,B
Westwood Elementary,1841314,4th,3,94,8,0,0,86,C,B,B,C
Westwood Elementary,1839407,4th,6,94,0,0,0,94,A,A,A,A
Westwood Elementary,1841313,5th,9,94,3,0,0,91,C,F,F,C
Westwood Elementary,1826908,4th,134,94,0,0,0,94,D,C,C,C
Westwood Elementary,1841045,1st,1,94,14,0,0,80,D,C,C,B
Westwood Elementary,1838713,3rd,101,94,2,0,0,92,B,B,B,B
Westwood Elementary,1826900,4th,5,94,5,0,0,89,C,B,B,B
Westwood Elementary,1841295,1st,51,94,8,0,0,86,B,B,B,A
Westwood Elementary,1840882,4th,52,94,1,0,0,93,B,B,B,B
Westwood Elementary,1837988,3rd,17,94,0,0,0,94,B,C,B,A
Westwood Elementary,1840900,5th,15,94,8,0,0,86,B,C,C,B
Westwood Elementary,1837379,4th,104,94,8,0,0,86,B,C,C,B
Westwood Elementary,1838186,1st,54,94,28,0,0,66,F,F,F,C
Westwood Elementary,1840622,Kindergarten,99,94,3,0,0,91,Pass,Pass,Pass,Pass
Westwood Elementary,1827021,5th,3,94,3,0,0,91,B,B,B,B
Westwood Elementary,1840991,5th,13,94,6,0,0,88,A,A,A,A
Westwood Elementary,1838445,1st,46,0,0,0,0,0,,,,
Westwood Elementary,1841293,5th,4,94,5,0,0,89,D,F,F,C
Westwood Elementary,1841292,5th,7,94,0,0,0,94,B,A,A,B
Westwood Elementary,1840453,Kindergarten,49,94,4,0,0,90,Pass,Pass,Pass,Pass
Westwood Elementary,1840898,5th,15,94,3,0,0,91,C,F,D,B
Westwood Elementary,1830803,4th,10,94,5,0,0,89,D,C,C,C
Westwood Elementary,1840894,5th,5,94,18,0,0,76,C,D,B,C
Westwood Elementary,1840413,3rd,121,94,13,0,0,81,B,B,B,B
Westwood Elementary,1841047,5th,8,94,0,0,0,94,D,C,D,C
Westwood Elementary,1827205,2nd,15,94,0,0,0,94,B,B,B,A
Westwood Elementary,1840460,1st,113,94,8,0,0,86,D,D,F,D
Westwood Elementary,1837548,5th,96,94,7,0,0,87,B,B,B,B
Westwood Elementary,1841702,3rd,13,94,10,0,0,84,F,D,D,D
Westwood Elementary,1840566,4th,17,94,3,0,0,91,C,B,C,C
Westwood Elementary,1827235,5th,8,94,3,0,0,91,B,B,A,B
Westwood Elementary,1837245,3rd,8,94,11,0,0,83,A,C,B,A
