HostSiteName,Year,Term,UID,Grade,ACE Days Attended,SchoolDaysAbsent,CriminalReferrals,NonCriminalReferrals,SchoolDayClasses,SchoolDayClassesPassed,StudentOverallGrades,ReadingGrade,MathGrade,ScienceGrade,SocialStudiesGrade,Promotion,Graduated,Advocate,Extracurricular,Comment
Woodview Elementary,2021,Spring,1837125,4th,108,94,0,0,0,0,B's,C,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1841217,2nd,54,94,0,0,0,0,D's,F,D,D,C,0,0,0,0,
Woodview Elementary,2021,Spring,1839593,4th,90,94,0,0,0,0,C's,C,C,C,C,0,0,0,0,
Woodview Elementary,2021,Spring,1840777,2nd,82,94,0,0,0,0,C's,B,C,D,C,0,0,0,0,
Woodview Elementary,2021,Spring,1840347,3rd,144,94,0,0,0,0,B's,C,D,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1839264,5th,63,94,0,0,0,0,B's,B,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840343,2nd,138,94,0,0,0,0,C's,D,C,C,B,0,0,0,0,
Woodview Elementary,2021,Spring,184010,2nd,140,94,0,0,0,0,D's,F,D,D,B,0,0,0,0,
Woodview Elementary,2021,Spring,1826722,4th,116,94,0,0,0,0,C's,C,C,C,F,0,0,0,0,
Woodview Elementary,2021,Spring,1837079,3rd,117,94,0,0,0,0,C's,C,D,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840853,4th,64,94,0,0,0,0,C's,C,C,D,C,0,0,0,0,
Woodview Elementary,2021,Spring,1836935,4th,116,94,0,0,0,0,D's,D,D,F,D,0,0,0,0,
Woodview Elementary,2021,Spring,1839997,1st,119,94,0,0,0,0,D's,F,D,D,C,0,0,0,0,
Woodview Elementary,2021,Spring,1837080,3rd,103,94,0,0,0,0,C's,C,C,C,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840742,4th,103,94,0,0,0,0,D's,C,F,C,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840856,5th,61,94,0,0,0,0,C's,C,C,C,C,0,0,0,0,
Woodview Elementary,2021,Spring,1840860,3rd,67,94,0,0,0,0,A's,A,A,A,B,0,0,0,0,
Woodview Elementary,2021,Spring,1838659,3rd,141,94,0,0,0,0,C's,B,D,C,B,0,0,0,0,
Woodview Elementary,2021,Spring,1839099,3rd,89,94,0,0,0,0,B's,C,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1831763,5th,101,94,0,0,0,0,B's,B,B,C,B,0,0,0,0,
Woodview Elementary,2021,Spring,1838176,5th,64,94,0,0,0,0,F's,F,F,F,F,0,0,0,0,
Woodview Elementary,2021,Spring,1837485,3rd,91,94,0,0,0,0,C's,C,D,C,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840316,2nd,138,94,0,0,0,0,B's,D,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1837641,4th,63,94,0,0,0,0,B's,B,C,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1837640,3rd,64,94,0,0,0,0,B's,B,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840598,3rd,110,94,0,0,0,0,B's,B,B,B,A,0,0,0,0,
Woodview Elementary,2021,Spring,1839421,4th,64,94,0,0,0,0,B's,B,C,C,B,0,0,0,0,
Woodview Elementary,2021,Spring,1837481,3rd,96,94,0,0,0,0,C's,D,F,B,D,0,0,0,0,
Woodview Elementary,2021,Spring,1830816,5th,95,94,0,0,0,0,F's,F,F,F,F,0,0,0,0,
Woodview Elementary,2021,Spring,1840858,3rd,65,94,0,0,0,0,C's,C,D,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1839161,3rd,131,94,0,0,0,0,Mostly B's and C's,B,C,C,B,0,0,0,0,
Woodview Elementary,2021,Spring,1838744,5th,128,94,0,0,0,0,D's,D,F,C,D,0,0,0,0,
Woodview Elementary,2021,Spring,1841346,2nd,37,94,0,0,0,0,B's,B,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1841347,3rd,37,94,0,0,0,0,B's,C,C,B,B,0,0,0,0,
