Club ID,Grade,Number of School Days,Number of Texas ACE Days,Math,English/Reading,Conduct
TWH002201,Kinder,174,161,B,B,E
TWH002202,3rd,174,161,D,C,S
TWH002203,3rd,174,161,B,C,N
TWH002204,Kinder,174,161,A,B,S
TWH002205,3rd,174,161,C,C,E
TWH002206,2nd,174,161,F,D,S
TWH002207,1nd,174,161,B,A,S
TWH002208,Kinder,174,161,C,C,S
TWH002209,4th,174,161,S,A,S
TWH002210,5th,174,161,A,B,E
TWH002211,1st,174,161,C,C,S
TWH002212,5th,174,161,D,F,S
TWH002213,1st,174,161,C,B,S
TWH002214,1st,174,161,C,C,E
TWH002215,5th,174,161,C,D,E
TWH002216,3rd,174,161,B,F,S
TWH002217,5th,174,161,C,F,E
TWH002218,2nd,174,161,B,A,E
TWH002219, 5th,174,161,C,B,E
TWH002220,2nd,174,161,C,C,S
TWH002221,3rd,174,161,D,D,S
TWH002222,4th,174,161,B,A,E
TWH002223,2nd,174,161,B,B,S
TWH002224,5th,174,161,C,B,E
TWH002225,3rd,174,161,D,D,E
TWH002226,1st,174,161,D,C,E
TWH002227,3rd,174,161,A,B,E
TWH002228,2nd,174,161,C,D,S
TWH002229,1st,174,161,A,A,S
TWH002230,4th,174,161,B,B,E
TWH002231,3rd,174,161,C,B,E
TWH002232,5th,174,161,D,B,E
TWH002233,3rd,174,161,D,C,N
TWH002234,5th,174,161,C,F,E
TWH002235,4th,174,161,B,B,E
TWH002236,5th,174,161,B,A,E
TWH002237,1st,174,161,A,B,S
TWH002238,2nd,174,161,B,B,S
TWH002239,4th,174,161,D,C,S
TWH002240,3rd,174,161,B,B,E
TWH002241,5th,174,161,A,B,E
TWH002242,1st,174,161,D,C,E
TWH002243,4th,174,161,A,B,E
TWH002244,4th,174,161,F,D,S
TWH002245,4th,174,161,F,D,E
TWH002246,2nd,174,161,C,C,S
TWH002247,5th,174,161,B,B,E
TWH002248,4th,174,161,A,B,S
TWH002249,1st,174,161,A,A,S
TWH002250,5th,174,161,B,C,S
TWH002251,4th,174,161,C,C,E
TWH002252,3rd,174,161,F,F,S
TWH002253,2nd,174,161,A,A,S
TWH002254,3rd,174,161,B,A,S
TWH002255,3rd,174,161,D,C,S
TWH002256,2nd,174,161,B,A,E
TWH002257,1st,174,161,A,A,E
TWH002258,3rd,174,161,D,C,E
TWH002259,5th,174,161,C,C,E
TWH002260,1st,174,161,B,C,N
