Comet ID,Club ID,Grade,Number of School Days Fall Semester,Math,English Reading,Conduct
1854598,TWH002301,1st,81,A,B,S
1826519,TWH002302,3rd,81,N/A,N/A,N/A
1853514,TWH002303,Kindergarten,81,N/A,N/A,N/A
1851948,TWH002304,Kindergarten,81,A,B,E
1844559,TWH002305,Kindergarten,81,A,B,S
1851478,TWH002306,Kindergarten,81,C,B,N
1852029,TWH002307,Kindergarten,81,N/A,N/A,N/A
1852991,TWH002308,Kindergarten,81,N/A,N/A,N/A
1855093,TWH002309,Kindergarten,81,B,B,N
1841509,TWH0023010,1st,81,A,B,E
1844919,TWH0023011,1st,81,B,A,E
1845072,TWH0023012,1st,81,B,A,N
1847589,TWH0023013,1st,81,C,F,E
1844917,TWH0023014,1st,81,A,A,S
1852561,TWH0023015,1st,81,D,D,S
1853700,TWH0023016,1st,81,B,C,E
1846196,TWH0023017,1st,81,C,F,S
1853139,TWH0023018,1st,81,A,B,E
1845144,TWH0023019,1st,81,D,B,S
1845129,TWH0023020,1st,81,C,B,S
1844916,TWH0023021,1st,81,A,B,S
1851976,TWH0023022,1st,81,N/A,N/A,N/A
1854087,TWH0023023,1st,81,C,B,E
1851978,TWH0023024,1st,81,D,D,S
1851181,TWH0023025,1st,81,D,D,S
1850280,TWH0023026,1st,81,B,A,E
1844922,TWH0023027,1st,81,B,B,S
1852326,TWH0023028,1st,81,A,B,S
1846393,TWH0023029,1st,81,D,D,S
1851956,TWH0023030,1st,81,B,C,E
1847936,TWH0023031,1st,81,B,C,S
1850922,TWH0023032,1st,81,B,B,S
1850922,TWH0023033,1st,81,B,B,S
1845040,TWH0023034,1st,81,A,A,E
1851944,TWH0023035,1st,81,B,A,E
1853821,TWH0023036,1st,81,N/A,N/A,N/A
1845611,TWH0023037,2nd,81,A,B,E
1844924,TWH0023038,2nd,81,C,B,E
1851943,TWH0023039,2nd,81,D,C,S
1841622,TWH0023040,2nd,81,F,C,S
1852329,TWH0023041,2nd,81,B,A,S
1852129,TWH0023042,2nd,81,A,A,S
1843415,TWH0023043,2nd,81,C,B,S
1854042,TWH0023044,2nd,81,A,C,S
1841196,TWH0023045,2nd,81,D,C,E
1842701,TWH0023046,2nd,81,C,B,S
1845528,TWH0023047,2nd,81,B,D,S
1855344,TWH0023048,2nd,81,D,C,S
1854079,TWH0023049,2nd,81,F,F,S
1854882,TWH0023050,2nd,81,C,D,S
1851945,TWH0023051,2nd,81,D,D,S
1841751,TWH0023052,2nd,81,D,B,S
1854086,TWH0023053,2nd,81,F,F,S
