Comet ID,Club ID,Grade,Math,English/Reading,Conduct
1841069,SBE002301,4th,F,F,S
1841066,SBE002302,5th,B,C,E
1845474,SBE002303,5th,A,A,E
1847838,SBE002304,3rd,D,F,E
1852532,SBE002305,1st,C,D,S
1852391,SBE002306,1st,A,C,E
1852395,SBE002307,1st,C,D,S
1852534,SBE002308,1st,F,F,N
1852535,SBE002309,1st,D,B,E
1855218,SBE002310,1st,B,D,S
1852536,SBE002311,1st,B,F,S
1855245,SBE002312,1st,B,B,S
1855244,SBE002313,1st,D,F,S
1852541,SBE002314,1st,C,D,S
1852470,SBE002315,1st,B,F,S
1852399,SBE002316,1st,D,F,S
1855905,SBE002317,1st,B,C,E
1848736,SBE002318,1st,C,B,S
1852425,SBE002319,1st,D,C,E
1848860,SBE002320,1st,A,D,S
1854920,SBE002321,1st,A,C,S
1852424,SBE002323,1st,B,A,S
1848738,SBE002324,1st,B,B,E
1848739,SBE002325,1st,D,F,E
1852483,SBE002326,1st,F,F,N
1852426,SBE002327,1st,D,B,E
1852478,SBE002328,1st,B,D,E
1849106,SBE002329,1st,A,D,S
1852718,SBE002330,1st,A,B,S
1848848,SBE002331,1st,C,D,S
1848740,SBE002333,1st,C,C,E
1852547,SBE002334,1st,B,B,E
1852436,SBE002335,1st,B,B,S
1852490,SBE002336,1st,F,F,S
1852496,SBE002337,1st,C,F,S
1852497,SBE002338,1st,F,B,E
1852717,SBE002339,1st,B,B,E
1852439,SBE002340,1st,B,F,E
1848867,SBE002341,1st,F,B,E
1845282,SBE002342,2nd,B,F,S
1841153,SBE002343,2nd,D,F,S
1848737,SBE002344,2nd,B,B,S
1848846,SBE002345,2nd,B,C,S
1845470,SBE002346,2nd,D,D,S
1852543,SBE002347,2nd,C,B,S
1841098,SBE002348,2nd,F,D,S
1841062,SBE002349,2nd,C,F,N
1848864,SBE002350,2nd,D,D,S
1845216,SBE002351,2nd,F,F,S
1846645,SBE002352,2nd,B,F,S
1845544,SBE002353,2nd,C,F,S
1852430,SBE002354,2nd,C,B,S
1855695,SBE002355,2nd,D,F,S
1841065,SBE002358,2nd,D,B,S
1845217,SBE002359,2nd,C,B,S
1848865,SBE002360,3rd,A,A,E
1840349,SBE002361,3rd,D,F,U
1843099,SBE002362,3rd,C,C,E
1855246,SBE002363,3rd,D,C,S
1840430,SBE002364,3rd,C,F,S
1852538,SBE002365,3rd,B,D,E
1840386,SBE002366,3rd,B,A,E
1852471,SBE002367,3rd,A,A,U
1840574,SBE002368,3rd,B,D,S
1846405,SBE002369,3rd,B,B,S
1846404,SBE002370,3rd,F,B,N
1855505,SBE002371,3rd,D,A,U
1840354,SBE002372,3rd,B,A,E
1847843,SBE002373,3rd,D,A,E
1847841,SBE002374,3rd,A,A,S
1841453,SBE002375,3rd,F,B,S
1840355,SBE002376,3rd,D,F,E
1842969,SBE002377,3rd,B,A,E
1841452,SBE002378,3rd,C,A,U
1841451,SBE002379,3rd,C,D,N
1852487,SBE002380,3rd,F,B,E
1840576,SBE002381,3rd,D,C,U
1841061,SBE002383,3rd,D,F,E
1852498,SBE002384,3rd,C,A,S
1852386,SBE002385,4th,F,F,E
1837843,SBE002386,4th,D,F,S
1856352,SBE002387,4th,B,B,E
1837500,SBE002388,4th,D,D,S
1837849,SBE002389,4th,B,D,S
1841074,SBE002391,4th,F,F,S
1847845,SBE002392,4th,A,B,S
1846406,SBE002393,5th,F,F,S
1837520,SBE002394,4th,D,D,E
1846131,SBE002395,4th,D,F,S
1837396,SBE002396,4th,B,A,S
1837392,SBE002397,4th,B,A,E
1837448,SBE002398,4th,B,D,S
1852403,SBE002399,4th,A,B,S
1837479,SBE0023100,4th,A,A,S
1845584,SBE0023101,4th,D,F,E
1842743,SBE0023102,4th,B,A,E
1837505,SBE0023103,4th,B,D,S
1852481,SBE0023104,4th,F,F,N
1839155,SBE0023105,4th,B,B,S
1848138,SBE0023106,4th,C,B,S
1845545,SBE0023107,4th,A,B,S
1855660,SBE0023108,4th,D,F,S
1837452,SBE0023109,4th,B,B,S
1835123,SBE0023110,4th,A,A,S
1843104,SBE0023111,4th,F,A,S
1852489,SBE0023114,4th,A,B,S
1837491,SBE0023115,4th,A,A,S
1837445,SBE0023116,4th,B,C,S
1843107,SBE0023117,5th,B,F,S
1856240,SBE0023118,5th,C,A,E
1840836,SBE0023119,5th,F,F,S
1826485,SBE0023120,5th,B,A,S
1855247,SBE0023121,5th,F,F,S
1841067,SBE0023122,5th,B,F,S
1852539,SBE0023123,5th,F,F,S
1835028,SBE0023124,5th,A,B,E
1852472,SBE0023125,5th,F,F,S
1837457,SBE0023126,5th,B,C,S
1845619,SBE0023127,5th,B,B,S
1845546,SBE0023128,5th,B,D,E
1855219,SBE0023129,5th,D,D,S
1846127,SBE0023130,5th,A,A,S
1836295,SBE0023131,5th,B,D,S
1837523,SBE0023132,5th,B,D,E
1837522,SBE0023133,5th,B,D,E
1837421,SBE0023134,5th,C,B,S
1852479,SBE0023135,5th,F,F,S
1852484,SBE0023136,5th,A,A,E
1843111,SBE0023137,5th,B,C,S
1852431,SBE0023138,5th,F,F,E
1826684,SBE0023140,5th,B,B,E
1835131,SBE0023141,5th,B,A,S
1856188,SBE0023142,5th,F,F,S
1839596,SBE0023143,5th,F,F,E
1835133,SBE0023144,5th,A,B,E
1856302,SBE0023145,5th,F,F,S
1852499,SBE0023146,5th,F,F,S
