Comet ID,Club ID,Student Grade,Number of School Days Fall Semester,Math,Reading,Conduct
1852476,WW002301,1,81,D,F,S
1855402,WW002302,1,81,D,F,S
1845036,WW002303,1,81,B,B,S
1845043,WW002304,1,81,B,B,S
1852750,WW002305,1,81,D,F,S
1845593,WW002306,1,81,B,D,S
1845028,WW002307,1,81,C,B,E
1845137,WW002308,1,81,B,A,S
1852737,WW002309,1,81,C,F,S
1854571,WW002310,1,81,B,C,S
1852037,WW002311,1,81,A,B,E
1845021,WW002312,1,81,B,D,S
1851854,WW002313,1,81,F,F,N
1851824,WW002314,1,81,A,A,E
1851843,WW002315,1,81,F,D,S
1854921,WW002316,1,81,C,F,S
1845022,WW002317,1,81,C,B,E
1845042,WW002318,1,81,C,B,E
1855150,WW002319,1,81,C,C,S
1845034,WW002320,1,81,C,B,S
1845031,WW002321,1,81,C,D,E
1855241,WW002322,1,81,A,A,S
1845138,WW002323,1,81,D,F,S
1842371,WW002324,1,81,A,B,E
1852486,WW002325,2,81,A,A,E
1840373,WW002326,2,81,A,B,E
1855403,WW002327,2,81,D,D,E
1847725,WW002328,2,81,A,B,E
1855940,WW002329,2,81,A,B,E
1847718,WW002330,2,81,B,C,S
1845335,WW002331,2,81,B,B,S
1842431,WW002332,2,81,C,C,E
1840622,WW002333,2,81,B,B,S
1847723,WW002334,2,81,A,B,E
1851839,WW002335,2,81,B,D,E
1840565,WW002336,2,81,A,B,E
1842531,WW002337,2,81,B,B,S
1841040,WW002338,2,81,B,D,E
1851834,WW002339,2,81,A,A,E
1840454,WW002340,2,81,A,C,E
1840374,WW002341,2,81,B,B,S
1852701,WW002342,2,81,B,A,E
1842437,WW002343,2,81,C,B,S
1840652,WW002344,2,81,C,B,E
1855366,WW002345,2,81,B,D,N
1842285,WW002346,2,81,D,C,S
1845045,WW002347,2,81,F,F,S
1854878,WW002348,2,81,A,B,S
1845149,WW002349,2,81,A,A,E
1855681,WW002350,2,81,F,F,E
1854898,WW002351,2,81,B,B,E
1840455,WW002352,2,81,D,D,E
1845044,WW002353,2,81,C,C,E
1845041,WW002354,2,81,B,D,E
1842430,WW002355,2,81,A,B,S
1845139,WW002356,2,81,C,D,S
1851852,WW002357,2,81,B,B,E
1837072,WW002358,3,81,C,D,N
1833763,WW002359,3,81,B,A,E
1855380,WW002360,3,81,B,B,S
1840459,WW002361,3,81,B,A,S
1840655,WW002362,3,81,B,A,E
1855466,WW002363,3,81,B,A,S
1852036,WW002364,3,81,B,A,S
1855153,WW002365,3,81,B,B,S
1839018,WW002366,3,81,D,D,S
1852460,WW002367,3,81,D,F,N
1851853,WW002368,3,81,D,C,S
1839238,WW002369,3,81,B,B,S
1840462,WW002370,3,81,A,A,S
1838202,WW002371,3,81,A,C,S
1840458,WW002372,3,81,A,B,S
1854645,WW002373,3,81,F,D,E
1851833,WW002374,3,81,B,B,S
1845905,WW002375,3,81,D,B,S
1840375,WW002376,3,81,B,A,S
1839048,WW002377,4,81,D,C,S
1852814,WW002378,4,81,C,F,S
1855381,WW002379,4,81,B,B,S
1836316,WW002380,4,81,F,F,S
1827211,WW002381,4,81,F,F,N
1840467,WW002382,4,81,B,A,S
1855328,WW002383,4,81,A,A,E
1840657,WW002384,4,81,B,B,E
1852736,WW002385,4,81,D,B,S
1845601,WW002386,4,81,B,D,E
1838802,WW002387,4,81,F,F,S
1846579,WW002388,4,81,B,B,E
1837140,WW002389,4,81,B,B,E
1837139,WW002390,4,81,A,D,S
1827056,WW002391,4,81,B,B,S
1855367,WW002392,4,81,D,B,E
1839340,WW002393,4,81,A,B,E
1840994,WW002394,4,81,C,B,E
1840995,WW002395,4,81,B,A,S
1827237,WW002396,4,81,B,B,E
1838819,WW002397,4,81,A,C,E
1837552,WW002398,4,81,A,B,E
1838877,WW002399,4,81,B,A,E
1827218,WW0023100,4,81,B,B,E
1850883,WW0023101,4,81,B,A,E
1852765,WW0023102,4,81,B,C,S
1852754,WW0023103,4,81,A,A,S
1845076,WW0023104,4,81,B,B,E
1831793,WW0023105,5,81,B,B,S
1826892,WW0023106,5,81,A,B,E
1855682,WW0023107,5,81,F,F,E
1848403,WW0023108,5,81,B,C,S
1851832,WW0023109,5,81,C,B,S
1833769,WW0023110,5,81,B,B,E
1837469,WW0023111,5,81,B,D,N
1840413,WW0023112,5,81,A,B,S
1851842,WW0023113,5,81,C,D,E
1837239,WW0023114,5,81,A,A,E
1838795,WW0023115,5,81,D,F,S
1842533,WW0023116,5,81,D,C,S
1826890,WW0023117,5,81,C,D,S
1827041,WW0023118,5,81,B,C,S
1852755,WW0023119,5,81,D,D,S
1851836,WW0023120,5,81,B,D,S
1833925,WW0023121,5,81,D,D,S
