Comet ID,Club ID,Grade,Math,English/Reading,Conduct,ACE Days Attended 
1852532,SBE002305,1st,C,D,S,114
1852391,SBE002306,1st,A,C,E,131
1852395,SBE002307,1st,C,D,S,140
1852534,SBE002308,1st,F,F,N,137
1852535,SBE002309,1st,D,B,E,68
1855218,SBE002310,1st,B,D,S,76
1852536,SBE002311,1st,B,F,S,54
1855245,SBE002312,1st,B,B,S,9
1855244,SBE002313,1st,D,F,S,80
1852541,SBE002314,1st,C,D,S,47
1852470,SBE002315,1st,B,F,S,122
1852399,SBE002316,1st,D,F,S,71
1855905,SBE002317,1st,B,C,E,34
1848736,SBE002318,1st,C,B,S,145
1856665,SBE002319,1st,C,C,E,9
1852425,SBE002320,1st,D,C,E,123
1848860,SBE002321,1st,A,D,S,50
1854920,SBE002322,1st,A,C,S,64
1852424,SBE002323,1st,B,A,S,45
1848738,SBE002324,1st,B,B,E,145
1848739,SBE002325,1st,D,F,E,146
1852483,SBE002326,1st,F,F,N,37
1852426,SBE002327,1st,D,B,E,124
1852478,SBE002328,1st,B,D,E,148
1849106,SBE002329,1st,A,D,S,141
1852718,SBE002330,1st,A,B,S,55
1848848,SBE002331,1st,C,D,S,148
1848740,SBE002333,1st,C,C,E,46
1852547,SBE002334,1st,B,B,E,46
1852436,SBE002335,1st,B,B,S,139
1852490,SBE002336,1st,F,F,S,40
1852496,SBE002337,1st,C,F,S,66
1852497,SBE002338,1st,F,B,E,125
1852717,SBE002339,1st,B,B,E,133
1852439,SBE002340,1st,B,F,E,133
1848867,SBE002341,1st,F,B,E,110
1845282,SBE002342,2nd,B,F,S,142
1841153,SBE002343,2nd,D,F,S,117
1848737,SBE002344,2nd,B,B,S,67
1848846,SBE002345,2nd,B,C,S,132
1845470,SBE002346,2nd,D,D,S,122
1852543,SBE002347,2nd,C,B,S,53
1841098,SBE002348,2nd,F,D,S,40
1841062,SBE002349,2nd,C,F,N,112
1848864,SBE002350,2nd,D,D,S,45
1845216,SBE002351,2nd,F,F,S,138
1846645,SBE002352,2nd,B,F,S,123
1852430,SBE002354,2nd,C,B,S,144
1855695,SBE002355,2nd,D,F,S,15
1841065,SBE002356,2nd,D,B,S,54
1855907,SBE002357,2nd,F,D,S,29
1855637,SBE002358,2nd,C,C,E,5
1845217,SBE002359,2nd,C,B,S,139
1848865,SBE002360,3rd,A,A,E,139
1843097,SBE002361,3rd,D,F,E,13
1840349,SBE002362,3rd,D,F,U,139
1856629,SBE002363,3rd,F,F,S,8
1843099,SBE002364,3rd,C,C,E,53
1855246,SBE002365,3rd,D,C,S,67
1840430,SBE002366,3rd,C,F,S,139
1852538,SBE002367,3rd,B,D,E,136
1840386,SBE002368,3rd,B,A,E,134
1852471,SBE002369,3rd,A,A,U,139
1840574,SBE002370,3rd,B,D,S,145
1846405,SBE002371,3rd,B,B,S,132
1846404,SBE002372,3rd,F,B,N,77
1855505,SBE002373,3rd,D,A,U,52
1840354,SBE002374,3rd,B,A,E,103
1847843,SBE002375,3rd,D,A,E,141
1847841,SBE002376,3rd,A,A,S,52
1841453,SBE002377,3rd,F,B,S,74
1840355,SBE002378,3rd,D,F,E,140
1842969,SBE002379,3rd,B,A,E,127
1841452,SBE002380,3rd,C,A,U,133
1841451,SBE002381,3rd,C,D,N,59
1852487,SBE002382,3rd,F,B,E,78
1840576,SBE002383,3rd,D,C,U,107
1855906,SBE002384,3rd,D,F,S,32
1841061,SBE002385,3rd,D,F,E,115
1852386,SBE002386,4th,F,F,E,48
1837843,SBE002387,4th,D,F,S,114
1856352,SBE002388,4th,B,B,E,17
1837500,SBE002389,4th,D,D,S,139
1837849,SBE002390,4th,B,D,S,145
1841074,SBE002391,4th,F,F,S,35
1847845,SBE002392,4th,A,B,S,51
1846406,SBE002393,5th,F,F,S,21
1837520,SBE002394,4th,D,D,E,120
1846131,SBE002395,4th,D,F,S,117
1837396,SBE002396,4th,B,A,S,151
1837392,SBE002397,4th,B,A,E,145
1837448,SBE002398,4th,B,D,S,52
1852403,SBE002399,4th,A,B,S,142
1837479,SBE0023100,4th,A,A,S,145
1845584,SBE0023101,4th,D,F,E,66
1842743,SBE0023102,4th,B,A,E,47
1837505,SBE0023103,4th,B,D,S,151
1852481,SBE0023104,4th,F,F,N,46
1839155,SBE0023105,4th,B,B,S,135
1848138,SBE0023106,4th,C,B,S,145
1855660,SBE0023108,4th,D,F,S,69
1837452,SBE0023109,4th,B,B,S,144
1835123,SBE0023110,4th,A,A,S,110
1843104,SBE0023111,4th,F,A,S,47
1852489,SBE0023114,4th,A,B,S,64
1837491,SBE0023115,4th,A,A,S,82
1837445,SBE0023116,4th,B,C,S,143
1843107,SBE0023117,5th,B,F,S,57
1856240,SBE0023118,5th,C,A,E,25
1840357,SBE0023119,5th,D,F,S,9
1840836,SBE0023120,5th,F,F,S,112
1826485,SBE0023121,5th,B,A,S,142
1841066,SBE0023122,5th,C,C,E,17
1837517,SBE0023123,5th,D,C,S,9
1855247,SBE0023124,5th,F,F,S,70
1841067,SBE0023125,5th,B,F,S,19
1852539,SBE0023126,5th,F,F,S,140
1835028,SBE0023127,5th,A,B,E,149
1852472,SBE0023128,5th,F,F,S,49
1837457,SBE0023129,5th,B,C,S,144
1845619,SBE0023130,5th,B,B,S,57
1845474,SBE0023131,5th,C,B,E,13
1845546,SBE0023132,5th,B,D,E,141
1855219,SBE0023133,5th,D,D,S,70
1846127,SBE0023134,5th,A,A,S,146
1836295,SBE0023135,5th,B,D,S,47
1837523,SBE0023136,5th,B,D,E,140
1837522,SBE0023137,5th,B,D,E,132
1837421,SBE0023138,5th,C,B,S,85
1852479,SBE0023139,5th,F,F,S,148
1852484,SBE0023140,5th,A,A,E,58
1843111,SBE0023141,5th,B,C,S,43
1852431,SBE0023142,5th,F,F,E,141
1856448,SBE0023143,5th,D,C,S,17
1826684,SBE0023144,5th,B,B,E,133
1835131,SBE0023145,5th,B,A,S,139
1856188,SBE0023146,5th,F,F,S,27
1839596,SBE0023147,5th,F,F,E,106
1841195,SBE0023148,5th,D,F,S,12
1835133,SBE0023149,5th,A,B,E,111
1856302,SBE0023150,5th,F,F,S,22
