Comet ID,Club ID,Grade,Math,English/Reading,Conduct,ACE Days Attended
1818108,SOM002301,8,C,B,A,106
1840629,SOM002302,8,C,A,A,148
1845577,SOM002303,7,A,B,A,112
1826988,SOM002304,8,C,B,A,130
1838224,SOM002305,8,C,C,A,152
1831884,SOM002306,7,B,B,A,137
1852652,SOM002307,8,B,A,A,153
1838626,SOM002308,8,A,B,A,152
1849078,SOM002309,7,B,B,A,152
1840604,SOM002310,8,A,A,A,144
1838960,SOM002311,8,A,B,B,155
1849080,SOM002312,8,B,C,B,146
1845413,SOM002313,7,C,C,C,155
1840957,SOM002314,8,C,A,B,154
1838330,SOM002315,8,C,B,C,155
1838495,SOM002316,8,B,B,A,152
1843141,SOM002317,8,A,B,B,146
1826990,SOM002318,8,B,B,A,152
1844858,SOM002319,7,B,C,B,153
1845696,SOM002320,7,A,B,B,153
1845243,SOM002321,7,A,A,A,148
1845242,SOM002322,7,A,A,A,153
1845416,SOM002323,7,C,A,A,148
1852053,SOM002324,6,C,C,A,154
1853140,SOM002325,7,C,C,C ,153
1845187,SOM002326,7,C,B,C ,153
1840511,SOM002327,8,B,B,A,152
1840447,SOM002328,8,B,C,A,147
1842999,SOM002329,8,A,A,A,153
1852043,SOM002330,6,C,B,C,143
1826948,SOM002331,8,C,C,C,154
1826959,SOM002332,8,A,C,A,155
1845238,SOM002333,7,B,B,A,155
1825763,SOM002334,6,A,A,A,154
1844853,SOM002335,8,C,B,A,154
1837769,SOM002336,8,B,B,B,153
1840607,SOM002337,8,B,B,A,152
1852054,SOM002338,6,A,B,C,149
1827233,SOM002339,7,B,B,B,149
1840524,SOM002340,8,C,C,C,149
1840473,SOM002341,8,B,B,B,146
1852597,SOM002342,8,C,C,C,154
1845186,SOM002343,7,B,A,A,154
1840573,SOM002344,8,C,B,C,154
1839407,SOM002345,8,C,C,C,154
1840554,SOM002346,8,B,B,C,146
1826956,SOM002347,8,C,A,A,146
1840560,SOM002348,8,B,C,A,146
1837312,SOM002349,8,A,B,A,146
1852522,SOM002350,6,A,A,A,149
1837379,SOM002351,6,B,C,A,149
1840991,SOM002352,7,C,A,B,149
1827000,SOM002353,8,B,B,B,149
1833968,SOM002354,6,B,C,B,154
1837536,SOM002355,6,C,C,D,154
1845580,SOM002356,6,A,A,A,154
1849069,SOM002357,8,A,B,B,154
1837477,SOM002358,8,C,C,A,154
1844860,SOM002359,7,C,B,C,137
1841015,SOM002360,8,A,A,A,137
1826466,SOM002361,7,B,A,A,137
1840523,SOM002362,8,A,A,A,137
1841151,SOM002363,8,A,C,B,137
1845240,SOM002364,7,C,C,C,130
1837330,SOM002365,8,B,B,B,130
1850016,SOM002366,8,C,C,C,130
1840365,SOM002367,8,A,B,C,130
1840720,SOM002368,8,B,B,B,148
1843000,SOM002369,8,B,B,B,148
1837954,SOM002370,8,A,A,B,148
1840470,SOM002371,8,B,C,C,148
1840471,SOM002372,8,B,C,C,148
1844862,SOM002373,7,C,C,C,152
1838437,SOM002374,8,B,C,A,152
1826940,SOM002375,8,B,B,B,152
1840555,SOM002376,7,B,B,B,152
1852511,SOM002377,6,C,C,C,153
1852441,SOM002378,6,C,C,B,153
1840322,SOM002379,8,A,A,B,153
1838991,SOM002380,8,B,A,C,153
1829509,SOM002381,7,C,A,B,147
1840620,SOM002382,8,C,C,C,126
1838309,SOM002383,8,C,C,A,145
1837304,SOM002384,7,C,C,C,152
1840537,SOM002385,8,B,B,B,149
1852604,SOM002386,6,C,C,C,144
1845550,SOM002387,7,A,A,B,130
1840323,SOM002388,8,C,C,C,130
1845188,SOM002389,7,B,B,C,130
1826992,SOM002390,8,B,B,B,130
117831,SOM002391,8,B,C,C,130
1846567,SOM002392,6,C,C,B,130
1845578,SOM002393,6,A,A,A,155
1838604,SOM002394,8,A,A,A,153
1844857,SOM002395,7,C,C,C,145
114156,SOM002396,8,B,B,C,134
1837917,SOM002397,8,B,A,A,130
1845237,SOM002398,8,C,C,C,155
1845295,SOM002399,8,A,B,A,154
1843206,SOM0023100,8,B,B,A,129
1839744,SOM0023101,8,A,A,A,155
1844855,SOM0023102,8,A,B,A,129
1844854,SOM0023103,7,A,B,A,139
1853142,SOM0023104,6,B,C,B,134
1837576,SOM0023105,8,B,B,B,148
1837573,SOM0023106,7,A,B,A,137
1845148,SOM0023107,6,B,B,A,127
1852052,SOM0023108,6,A,A,A,148
