Comet ID,Club ID,Grade,Math,English/Reading,Conduct,ACE days attended
1854598,TWH002301,1st,A,A,S,146
1826519,TWH002302,3rd,N/A,N/A,N/A,59
1853514,TWH002303,Kindergarten,N/A,N/A,N/A,138
1851948,TWH002304,Kindergarten,N/A,N/A,N/A,142
1844559,TWH002305,Kindergarten,N/A,N/A,N/A,38
1851478,TWH002306,Kindergarten,N/A,N/A,N/A,151
1852029,TWH002307,Kindergarten,N/A,N/A,N/A,101
1852991,TWH002308,Kindergarten,N/A,N/A,N/A,137
1855093,TWH002309,Kindergarten,N/A,N/A,N/A,88
1841509,TWH0023010,1st,A,B,E,149
1844919,TWH0023011,1st,B,A,E,152
1845072,TWH0023012,1st,B,B,N,156
1847589,TWH0023013,1st,B,F,E,85
1844917,TWH0023014,1st,A,A,S,155
1852561,TWH0023015,1st,D,D,S,149
1853700,TWH0023016,1st,B,B,E,137
1846196,TWH0023017,1st,C,D,S,151
1853139,TWH0023018,1st,A,B,S,141
1845144,TWH0023019,1st,B,B,E,66
1845129,TWH0023020,1st,C,B,S,155
1844916,TWH0023021,1st,A,B,S,148
1851976,TWH0023022,1st,N/A,N/A,N/A,35
1854087,TWH0023023,1st,N/A,N/A,N/A,136
1851978,TWH0023024,1st,D,D,S,128
1851181,TWH0023025,1st,N/A,N/A,N/A,107
1850280,TWH0023026,1st,B,A,S,140
1844922,TWH0023027,1st,C,B,S,154
1852326,TWH0023028,1st,A,A,S,97
1846393,TWH0023029,1st,N/A,N/A,N/A,54
1851956,TWH0023030,1st,B,C,E,153
1847936,TWH0023031,1st,C,C,S,153
1850922,TWH0023032,1st,A,B,S,85
1851944,TWH0023035,1st,B,A,E,156
1853821,TWH0023036,1st,N/A,N/A,N/A,40
1845611,TWH0023037,2nd,A,A,E,155
1844924,TWH0023038,2nd,B,B,E,151
1851943,TWH0023039,2nd,C,C,S,150
1841622,TWH0023040,2nd,F,C,S,151
1852329,TWH0023041,2nd,B,B,S,152
1852129,TWH0023042,2nd,A,A,S,128
1843415,TWH0023043,2nd,C,C,S,54
1854042,TWH0023044,2nd,B ,C,S,137
1841196,TWH0023045,2nd,C,B,E,155
1842701,TWH0023046,2nd,C,C ,S,148
1845528,TWH0023047,2nd,B,D,S,110
1855344,TWH0023048,2nd,B,B,S,27
1854079,TWH0023049,2nd,F,F,E,105
1854882,TWH0023050,2nd,D,D,S,83
1851945,TWH0023051,2nd,D,D,S,153
1841751,TWH0023052,2nd,D,D,S,149
1854086,TWH0023053,2nd,D,D,S,130
1851942,TWH0023054,2nd,B,A,E,157
1853135,TWH0023055,2nd,N/A,N/A,N/A,107
1852537,TWH0023056,2nd,F,F,N,132
1849936,TWH0023057,2nd,B,C,N,147
1855338,TWH0023058,2nd,F,F,S,70
1851949,TWH0023059,2nd,N/A,N/A,N/A,67
1851946,TWH0023060,2nd,N/A,N/A,N/A,102
1845098,TWH0023061,2nd,A,B,N,61
1844829,TWH0023062,2nd,B,C,S,65
1840280,TWH0023063,2nd,F,C,E,153
1844920,TWH0023064,2nd,B,B,E,149
1847135,TWH0023065,2nd,B,D,E,150
1845659,TWH0023066,2nd,B,B,S,150
1845040,TWH0023067,2nd,A,A,E,67
1841486,TWH0023068,2nd,D,F,S,155
1846193,TWH0023069,3rd,C,D,S,81
1840279,TWH0023070,3rd,C,D,S,85
1845469,TWH0023071,3rd,D,C,S,157
1840420,TWH0023072,3rd,C,D,S,144
1852328,TWH0023073,3rd,F,D,S,151
1852442,TWH0023074,3rd,D,D,S,145
1850025,TWH0023075,3rd,B,C,S,157
1836870,TWH0023076,3rd,B,B,E,146
1838462,TWH0023077,3rd,D,D,S,152
1845143,TWH0023078,3rd,B,B,E,157
1845399,TWH0023079,3rd,B,B,S,148
1851969,TWH0023080,3rd,N/A,N/A,N/A,35
1841111,TWH0023081,3rd,D,C,S,148
1837008,TWH0023082,3rd,D,F,S,46
1847834,TWH0023083,3rd,D,C,S,135
1852445,TWH0023084,3rd,D,D,S,147
1844914,TWH0023085,3rd,C,C,S,156
1841752,TWH0023086,3rd,B,F,E,146
