Comet ID,Club ID,Math,English Reading,Conduct
1852476,WW002301,F,F,S
1845036,WW002302,B,B,S
1845043,WW002303,B,B,S
1852750,WW002304,F,F,S
1845593,WW002405,A,B,S
1845028,WW002406,B,B,E
1845137,WW002407,B,B,S
1852737,WW002308,F,F,S
1852037,WW002309,A,B,S
1851854,WW002310,F,F,S
1851824,WW002311,A,A,E
1851843,WW002312,C,D,S
1845022,WW002313,A,D,E
1845042,WW002314,B,C,E
1845034,WW002315,D,B,S
1845031,WW002316,B,C,E
1845138,WW002317,C,F,S
1842371,WW002318,A,B,E
1855241,WW002319,A,B,S
1855150,WW002320,B,B,S
1854921,WW002321,B,B,S
1845021,WW002322,B,B,S
1855363,WW002323,C,D,S
1855402,WW002324,F,F,S
1852486,WW002325,B,A,S
1840373,WW002326,C,B,S
1847725,WW002327,A,A,E
1847718,WW002328,C,D,U
1845335,WW002329,C,C,S
1842531,WW002330,C,C,S
1840622,WW002331,B,B,S
1847723,WW002332,D,B,S
1851839,WW002333,B,C,E
1840565,WW002334,A,A,S
1842531,WW002335,B,B,S
1851834,WW002336,A,B,S
1840454,WW002337,A,C,S
1852701,WW002338,A,A,S
1842437,WW002339,B,B,S
1840652,WW002340,C,B,S
1855366,WW002341,B,B,S
1842285,WW002342,C,B,S
1845045,WW002343,F,D,S
1854878,WW002344,B,B,S
1845149,WW003445,A,A,S
1854898,WW002346,C,B,S
1847707,WW002347,B,C,S
1840455,WW002348,C,D,S
1845044,WW002349,D,C,S
1845041,WW002350,A,C,S
1842430,WW002351,B,B,S
1851852,WW002352,B,B,E
1855403,WW002353,C,B,S
1841040,WW002354,C,B,S
1855940,WW002355,B,A,S
1855681,WW002356,F,F,E
1837027,WW002357,B,C,S
1840459,WW002358,A,B,S
1840655,WW002359,B,B,E
1852036,WW002360,A,A,S
1839018,WW002361,D,D,S
1852460,WW002362,D,D,S
1851853,WW002363,D,D,S
1839238,WW002364,B,S,S
1838202,WW002365,C,D,S
1840458,WW002366,A,B,S
1851833,WW002367,B,B,S
1845905,WW002368,B,B,S
1840375,WW002369,B,B,S
1854645,WW002370,C,B,S
1855153,WW002371,C,D,S
1833763,WW002372,A,A,E
1855380,WW002373,B,D,E
1855466,WW002374,A,A,S
1852814,WW002375,C,C,S
1836316,WW002376,C,D,S
1827211,WW002377,F,D,N
1840467,WW002378,A,D,S
1852736,WW002379,B,B,S
1845601,WW002380,B,B,E
1846579,WW002381,B,B,E
1837140,WW002382,A,B,E
1837139,WW002383,B,C,S
1827056,WW002384,B,B,S
1840994,WW002385,C,B,E
1840995,WW002386,A,B,E
1827237,WW002387,B,B,S
1838819,WW002388,A,B,S
1837552,WW002389,B,A,S
1827218,WW002390,B,B,E
1850883,WW002391,A,A,E
1852765,WW002392,B,B,S
1845076,WW002393,A,A,E
1852754,WW002394,A,A,E
1840657,WW002395,A,B,S
1838877,WW002396,A,B,E
1855328,WW002397,A,A,E
1848403,WW002398,B,B,S
1855367,WW002399,B,C,S
1855381,WW0023100,B,B,S
1839340,WW0023101,A,B,S
1838802,WW0023102,C,D,S
1855876,WW0023103,B,B,E
1838795,WW0023104,B,B,S
1831793,WW0023105,A,B,E
1851832,WW0023106,B,B,S
1833769,WW0023107,A,A,E
1827527,WW0023108,B,B,N
1837469,WW0023109,B,B,N
1851842,WW0023110,B,B,E
1837239,WW0023111,A,A,E
1855375,WW0023112,B,B,E
1826890,WW0023113,C,D,S
1827041,WW0023114,B,B,S
1851836,WW0023115,A,B,E
1833925,WW0023116,B,D,E
1840413,WW0023117,A,A,E
1855465,WW0023118,B,D,E
1826892,WW0023119,A,A,E
1855682,WW0023120,A,B,E
