Comet ID ,Club ID,Grade,Math ,English Reading ,Conduct ,ACE Days Attended 
1852062,WV002301 ,1st ,A,B,S,74
1850839,WV002302,1st ,B,B,E,154
1851937,WV002303,1st ,A,A,S,155
1851849,WV002304,1st ,A,B,E,156
1852888,WV002305,1st ,C,C,E,144
1853771,WV002306,1st ,C,D,S,114
1845379,WV002307,1st ,B,B,E,77
1853933,WV002308,1st ,B,B,S,114
1854594,WV002309,1st ,A,B,S,87
1854225,WV002310 ,1st ,B,C,S,105
1845354,WV002311 ,1st ,A,B,S,40
1851702,WV002312,1st ,B,A,E,156
1851899,WV002313,1st ,A,A,S,133
1851900,WV002314,1st ,C,C,E,155
1852388,WV002315 ,1st ,B,A,E,149
1845530,WV002316 ,1st ,B,B,E,154
1852383,WV002317,1st ,C,B,E,52
1851905,WV002318 ,1st ,C,C,E,148
1854687,WV002319 ,1st ,C,D,S,51
1852681,WV002320 ,1st ,A,C,S,149
1852958,WV002321 ,1st ,D,C,E,41
1845591,WV002322 ,1st ,D,D,S,151
1851906,WV002323 ,1st ,D,C,S,76
1851898,WV002324 ,1st ,C,C,S,148
1845362,WV002325 ,2nd ,D,D,S,153
1851898,WV002326 ,2nd ,D,D,E,34
1852069,WV002327,2nd ,B,D,S,122
1845379,WV002328 ,2nd ,B,B,S,122
1852695,WV002329 ,2nd ,D,D,S,117
1855461,WV002330,2nd ,B,D,S,34
1851908,WV002331,2nd ,B,A,S,75
1847783,WV002332,2nd ,B,B,S,72
1853533,WV002333,2nd ,D,C,E,94
1847283,WV002334,2nd ,A,C,E,138
1848821,WV002335,2nd ,A,B,S,154
1845529,WV002336,2nd ,A,C,E,154
1848610,WV002337,2nd ,A,B,E,141
1851897,WV002338,2nd ,B,C,S,95
1852913,WV002339,2nd ,C,C,E,103
1854080,WV002340,2nd ,B,C,S,50
1845356,WV002341,2nd ,C,D,S,18
1852834,WV002342,2nd ,B,C,S,113
1852382,WV002343,2nd ,D,B,E,115
1852387,WV002344,2nd ,B,D,S,87
1852064,WV002345,2nd ,B,D,S,41
1852381,WV002346,2nd ,A,B,E,154
1846019,WV002347,2nd ,A,B,S,72
1853030,WV002348,2nd ,B,D,E,144
1852272,WV002349,2nd ,C,C,S,83
1851855,WV002350,2nd ,C,D,S,121
1840115,WV002351,2nd ,B,C,E,147
1852068,WV002352,2nd ,B,C,S,90
1845363,WV002353,2nd ,A,A,E,84
1849246,WV002354,3rd,B,D,S,144
1845456,WV002355,3rd,B,D,S,156
1853810,WV002356,3rd,B,A,E,91
1845877,WV002357,3rd,D,B,S,150
1851936,WV002358,3rd,A,B,S,155
1852696,WV002359,3rd,C,D,S,107
1852588,WV002360,3rd,A,C,S,149
1845680,WV002361,3rd,B,B,S,80
